year,reporting_state,consulate_country,income_group,region,apps,issued,not_issued,refusal_rate
2005,Austria,Russian Federation,Upper middle income,Europe & Central Asia,76478,76294,184,0.0024059206569209445
2005,Austria,Switzerland,High income,Europe & Central Asia,75260,75145,115,0.0015280361413765613
2005,Austria,Serbia,Upper middle income,Europe & Central Asia,42608,41465,1143,0.026825948178745774
2005,Austria,China,Upper middle income,East Asia & Pacific,41376,39025,2351,0.05682037896365043
2005,Austria,Ukraine,Lower middle income,Europe & Central Asia,32053,28172,3881,0.12108071007394004
2005,Austria,"Taiwan, China",High income,East Asia & Pacific,29788,29745,43,0.0014435343091177655
2005,Austria,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia,21410,18294,3116,0.1455394675385334
2005,Austria,Türkiye,Upper middle income,Europe & Central Asia,16120,13749,2371,0.14708436724565757
2005,Austria,India,Lower middle income,South Asia,12917,12092,825,0.06386931950143222
2005,Austria,Thailand,Upper middle income,East Asia & Pacific,9519,9335,184,0.019329761529572435
2005,Austria,North Macedonia,Upper middle income,Europe & Central Asia,9251,7402,1849,0.19987028429358988
2005,Austria,South Africa,Upper middle income,Sub-Saharan Africa,8919,8896,23,0.002578764435474829
2005,Austria,"Iran, Islamic Rep.",Lower middle income,Middle East & North Africa,7184,7184,0,0
2005,Austria,United Kingdom,High income,Europe & Central Asia,5304,5254,50,0.00942684766214178
2005,Austria,Saudi Arabia,High income,Middle East & North Africa,4752,4752,0,0
2005,Austria,Czechia,High income,Europe & Central Asia,4405,4314,91,0.020658342792281497
2005,Austria,Albania,Upper middle income,Europe & Central Asia,3644,3025,619,0.1698682766190999
2005,Austria,Hungary,High income,Europe & Central Asia,2960,2918,42,0.01418918918918919
2005,Austria,United States,High income,North America,2849,2839,10,0.00351000351000351
2005,Austria,United Arab Emirates,High income,Middle East & North Africa,2814,2804,10,0.0035536602700781805
2005,Austria,Romania,High income,Europe & Central Asia,2469,1732,737,0.2985014175779668
2005,Austria,Kuwait,High income,Middle East & North Africa,2445,2392,53,0.021676891615541923
2005,Austria,"Egypt, Arab Rep.",Lower middle income,Middle East & North Africa,2128,2128,0,0
2005,Austria,Jordan,Lower middle income,Middle East & North Africa,1859,1777,82,0.04410973641742873
2005,Austria,Nigeria,Lower middle income,Sub-Saharan Africa,1630,1596,34,0.020858895705521473
2005,Austria,Slovenia,High income,Europe & Central Asia,1608,1608,0,0
2005,Austria,Indonesia,Upper middle income,East Asia & Pacific,1512,1512,0,0
2005,Austria,Lebanon,Lower middle income,Middle East & North Africa,1496,1399,97,0.06483957219251336
2005,Austria,Syrian Arab Republic,Low income,Middle East & North Africa,1492,1353,139,0.09316353887399464
2005,Austria,Libya,Upper middle income,Middle East & North Africa,1481,1481,0,0
2005,Austria,Pakistan,Lower middle income,South Asia,1265,821,444,0.35098814229249015
2005,Austria,Slovak Republic,High income,Europe & Central Asia,994,994,0,0
2005,Austria,Tunisia,Lower middle income,Middle East & North Africa,987,796,191,0.19351570415400202
2005,Austria,Philippines,Lower middle income,East Asia & Pacific,843,843,0,0
2005,Austria,Colombia,Upper middle income,Latin America & Caribbean,825,528,297,0.36
2005,Austria,Senegal,Lower middle income,Sub-Saharan Africa,815,549,266,0.3263803680981595
2005,Austria,Croatia,High income,Europe & Central Asia,747,747,0,0
2005,Austria,Kenya,Lower middle income,Sub-Saharan Africa,666,614,52,0.07807807807807808
2005,Austria,Peru,Upper middle income,Latin America & Caribbean,638,638,0,0
2005,Austria,Oman,High income,Middle East & North Africa,597,597,0,0
2005,Austria,Latvia,High income,Europe & Central Asia,561,559,2,0.0035650623885918
2005,Austria,Morocco,Lower middle income,Middle East & North Africa,503,498,5,0.009940357852882704
2005,Austria,Cuba,Upper middle income,Latin America & Caribbean,464,463,1,0.0021551724137931034
2005,Austria,Vietnam,Lower middle income,East Asia & Pacific,405,381,24,0.05925925925925926
2005,Austria,Canada,High income,North America,362,351,11,0.03038674033149171
2005,Austria,Ireland,High income,Europe & Central Asia,341,341,0,0
2005,Austria,Poland,High income,Europe & Central Asia,324,311,13,0.040123456790123455
2005,Austria,Japan,High income,East Asia & Pacific,300,300,0,0
2005,Austria,Australia,High income,East Asia & Pacific,224,224,0,0
2005,Austria,Estonia,High income,Europe & Central Asia,218,218,0,0
2005,Austria,Bulgaria,Upper middle income,Europe & Central Asia,202,200,2,0.009900990099009901
2005,Austria,Israel,High income,Middle East & North Africa,200,189,11,0.055
2005,Austria,Ethiopia,Low income,Sub-Saharan Africa,171,143,28,0.16374269005847952
2005,Austria,Zimbabwe,Lower middle income,Sub-Saharan Africa,157,157,0,0
2005,Austria,"Venezuela, RB",nan,Latin America & Caribbean,149,149,0,0
2005,Austria,Argentina,Upper middle income,Latin America & Caribbean,119,119,0,0
2005,Austria,Malaysia,Upper middle income,East Asia & Pacific,105,105,0,0
2005,Austria,Algeria,Lower middle income,Middle East & North Africa,73,72,1,0.0136986301369863
2005,Austria,Germany,High income,Europe & Central Asia,56,56,0,0
2005,Austria,Chile,High income,Latin America & Caribbean,44,44,0,0
2005,Austria,Lithuania,High income,Europe & Central Asia,41,41,0,0
2005,Austria,Portugal,High income,Europe & Central Asia,38,38,0,0
2005,Austria,"Korea, Rep.",High income,East Asia & Pacific,31,19,12,0.3870967741935484
2005,Austria,Mexico,Upper middle income,Latin America & Caribbean,30,30,0,0
2005,Austria,Netherlands,High income,Europe & Central Asia,11,8,3,0.2727272727272727
2005,Austria,Brazil,Upper middle income,Latin America & Caribbean,10,10,0,0
2005,Austria,Spain,High income,Europe & Central Asia,10,10,0,0
2005,Austria,Italy,High income,Europe & Central Asia,9,9,0,0
2005,Austria,Belgium,High income,Europe & Central Asia,6,6,0,0
2005,Austria,France,High income,Europe & Central Asia,5,5,0,0
2005,Austria,Greece,High income,Europe & Central Asia,2,2,0,0
2005,Austria,Denmark,High income,Europe & Central Asia,1,1,0,0
2005,Austria,Luxembourg,High income,Europe & Central Asia,1,1,0,0
2005,Austria,Sweden,High income,Europe & Central Asia,1,1,0,0
2005,Belgium,India,Lower middle income,South Asia,17300,15747,1202,0.07091863826774442
2005,Belgium,Russian Federation,Upper middle income,Europe & Central Asia,17064,16207,856,0.05016702807243744
2005,Belgium,Morocco,Lower middle income,Middle East & North Africa,11767,4867,5763,0.5421448730009407
2005,Belgium,Türkiye,Upper middle income,Europe & Central Asia,10029,7813,2216,0.22095921826702564
2005,Belgium,China,Upper middle income,East Asia & Pacific,9491,8274,1217,0.1282267411231693
2005,Belgium,"Congo, Dem. Rep.",Low income,Sub-Saharan Africa,9472,5577,3895,0.41121199324324326
2005,Belgium,United Kingdom,High income,Europe & Central Asia,7672,7001,671,0.08746089676746611
2005,Belgium,Ukraine,Lower middle income,Europe & Central Asia,6659,5768,845,0.12777861787388478
2005,Belgium,South Africa,Upper middle income,Sub-Saharan Africa,6639,6456,183,0.027564392227745142
2005,Belgium,Serbia,Upper middle income,Europe & Central Asia,5719,4604,1139,0.19832839979104996
2005,Belgium,Algeria,Lower middle income,Middle East & North Africa,5075,3738,1340,0.26388341866876724
2005,Belgium,Nigeria,Lower middle income,Sub-Saharan Africa,4074,2545,1529,0.375306823760432
2005,Belgium,United States,High income,North America,3479,3326,213,0.060186493359706134
2005,Belgium,Thailand,Upper middle income,East Asia & Pacific,3255,2804,451,0.13855606758832564
2005,Belgium,Cameroon,Lower middle income,Sub-Saharan Africa,3204,2195,1009,0.31491885143570536
2005,Belgium,Tunisia,Lower middle income,Middle East & North Africa,2744,2036,708,0.25801749271137026
2005,Belgium,Senegal,Lower middle income,Sub-Saharan Africa,2727,1840,887,0.3252658599193253
2005,Belgium,"Iran, Islamic Rep.",Lower middle income,Middle East & North Africa,2661,2161,500,0.18789928598271327
2005,Belgium,"Egypt, Arab Rep.",Lower middle income,Middle East & North Africa,2444,1940,548,0.2202572347266881
2005,Belgium,United Arab Emirates,High income,Middle East & North Africa,2296,2111,185,0.08057491289198607
2005,Belgium,"Taiwan, China",High income,East Asia & Pacific,2104,2101,3,0.0014258555133079848
2005,Belgium,Rwanda,Low income,Sub-Saharan Africa,2046,1525,460,0.23173803526448364
2005,Belgium,Philippines,Lower middle income,East Asia & Pacific,1978,1172,843,0.41836228287841193
2005,Belgium,Angola,Lower middle income,Sub-Saharan Africa,1910,1134,144,0.11267605633802817
2005,Belgium,Pakistan,Lower middle income,South Asia,1667,815,852,0.5110977804439112
2005,Belgium,Saudi Arabia,High income,Middle East & North Africa,1588,1487,93,0.05886075949367089
2005,Belgium,Lebanon,Lower middle income,Middle East & North Africa,1582,1349,176,0.11540983606557377
2005,Belgium,Burundi,Low income,Sub-Saharan Africa,1474,1180,294,0.1994572591587517
2005,Belgium,Côte d’Ivoire,Lower middle income,Sub-Saharan Africa,1456,849,708,0.45472061657032753
2005,Belgium,Libya,Upper middle income,Middle East & North Africa,1392,1139,253,0.1817528735632184
2005,Belgium,Ecuador,Upper middle income,Latin America & Caribbean,1355,1022,1,9.775171065493646e-4
2005,Belgium,Peru,Upper middle income,Latin America & Caribbean,1287,883,404,0.3139083139083139
2005,Belgium,Jordan,Lower middle income,Middle East & North Africa,1194,1005,189,0.15829145728643215
2005,Belgium,Vietnam,Lower middle income,East Asia & Pacific,1158,1008,149,0.12878133102852204
2005,Belgium,Indonesia,Upper middle income,East Asia & Pacific,1091,997,35,0.03391472868217054
2005,Belgium,Colombia,Upper middle income,Latin America & Caribbean,1059,815,244,0.23040604343720492
2005,Belgium,Syrian Arab Republic,Low income,Middle East & North Africa,1009,687,227,0.24835886214442013
2005,Belgium,Guinea,Lower middle income,Sub-Saharan Africa,956,686,270,0.2824267782426778
2005,Belgium,Kenya,Lower middle income,Sub-Saharan Africa,879,745,134,0.15244596131968147
2005,Belgium,Switzerland,High income,Europe & Central Asia,865,849,16,0.018497109826589597
2005,Belgium,Ireland,High income,Europe & Central Asia,760,663,97,0.12763157894736843
2005,Belgium,Cuba,Upper middle income,Latin America & Caribbean,759,552,207,0.2727272727272727
2005,Belgium,Burkina Faso,Low income,Sub-Saharan Africa,757,630,114,0.1532258064516129
2005,Belgium,Romania,High income,Europe & Central Asia,711,495,218,0.30575035063113604
2005,Belgium,Benin,Lower middle income,Sub-Saharan Africa,709,540,169,0.2383638928067701
2005,Belgium,Czechia,High income,Europe & Central Asia,702,659,13,0.019345238095238096
2005,Belgium,Tanzania,Lower middle income,Sub-Saharan Africa,676,618,98,0.13687150837988826
2005,Belgium,"Congo, Rep.",Lower middle income,Sub-Saharan Africa,639,408,231,0.3615023474178404
2005,Belgium,Israel,High income,Middle East & North Africa,636,582,60,0.09345794392523364
2005,Belgium,Uganda,Low income,Sub-Saharan Africa,591,546,51,0.08542713567839195
2005,Belgium,Mali,Low income,Sub-Saharan Africa,507,280,198,0.41422594142259417
2005,Belgium,Ethiopia,Low income,Sub-Saharan Africa,467,422,46,0.09829059829059829
2005,Belgium,Canada,High income,North America,458,405,36,0.08163265306122448
2005,Belgium,Kuwait,High income,Middle East & North Africa,445,428,21,0.0467706013363029
2005,Belgium,Australia,High income,East Asia & Pacific,387,114,273,0.7054263565891473
2005,Belgium,Zimbabwe,Lower middle income,Sub-Saharan Africa,351,315,36,0.10256410256410256
2005,Belgium,Poland,High income,Europe & Central Asia,308,270,35,0.11475409836065574
2005,Belgium,Singapore,High income,East Asia & Pacific,296,283,14,0.04713804713804714
2005,Belgium,Croatia,High income,Europe & Central Asia,287,227,93,0.290625
2005,Belgium,Bulgaria,Upper middle income,Europe & Central Asia,203,120,57,0.3220338983050847
2005,Belgium,"Venezuela, RB",nan,Latin America & Caribbean,181,128,53,0.292817679558011
2005,Belgium,Japan,High income,East Asia & Pacific,154,147,7,0.045454545454545456
2005,Belgium,Hungary,High income,Europe & Central Asia,128,107,21,0.1640625
2005,Belgium,Netherlands,High income,Europe & Central Asia,124,123,1,0.008064516129032258
2005,Belgium,Lithuania,High income,Europe & Central Asia,96,94,2,0.020833333333333332
2005,Belgium,Portugal,High income,Europe & Central Asia,79,79,0,0
2005,Belgium,Malaysia,Upper middle income,East Asia & Pacific,45,41,4,0.08888888888888889
2005,Belgium,Brazil,Upper middle income,Latin America & Caribbean,39,33,6,0.15384615384615385
2005,Belgium,Mexico,Upper middle income,Latin America & Caribbean,37,34,3,0.08108108108108109
2005,Belgium,Finland,High income,Europe & Central Asia,33,26,7,0.21212121212121213
2005,Belgium,Greece,High income,Europe & Central Asia,33,33,2,0.05714285714285714
2005,Belgium,Italy,High income,Europe & Central Asia,31,28,3,0.0967741935483871
2005,Belgium,France,High income,Europe & Central Asia,28,26,2,0.07142857142857142
2005,Belgium,Germany,High income,Europe & Central Asia,28,27,1,0.03571428571428571
2005,Belgium,Slovenia,High income,Europe & Central Asia,22,22,0,0
2005,Belgium,Costa Rica,Upper middle income,Latin America & Caribbean,20,16,4,0.2
2005,Belgium,Chile,High income,Latin America & Caribbean,19,12,7,0.3684210526315789
2005,Belgium,Slovak Republic,High income,Europe & Central Asia,18,14,1,0.06666666666666667
2005,Belgium,Argentina,Upper middle income,Latin America & Caribbean,17,13,4,0.23529411764705882
2005,Belgium,"Korea, Rep.",High income,East Asia & Pacific,14,9,5,0.35714285714285715
2005,Belgium,Austria,High income,Europe & Central Asia,2,3,0,0
2005,Belgium,Spain,High income,Europe & Central Asia,2,2,0,0
2005,Belgium,Bolivia,Lower middle income,Latin America & Caribbean,0,0,0,0
2005,Belgium,Luxembourg,High income,Europe & Central Asia,0,0,0,0
2005,Cyprus,Russian Federation,Upper middle income,Europe & Central Asia,105202,103611,1591,0.015123286629531758
2005,Cyprus,Lebanon,Lower middle income,Middle East & North Africa,15185,14337,848,0.055844583470530125
2005,Cyprus,Ukraine,Lower middle income,Europe & Central Asia,8149,7354,795,0.09755798257454902
2005,Cyprus,Jordan,Lower middle income,Middle East & North Africa,4876,4876,0,0
2005,Cyprus,Serbia,Upper middle income,Europe & Central Asia,4257,29,2,0.06451612903225806
2005,Cyprus,Syrian Arab Republic,Low income,Middle East & North Africa,2967,2967,2967,0.5
2005,Cyprus,"Iran, Islamic Rep.",Lower middle income,Middle East & North Africa,2864,2773,91,0.031773743016759774
2005,Cyprus,United Kingdom,High income,Europe & Central Asia,2808,2792,16,0.005698005698005698
2005,Cyprus,India,Lower middle income,South Asia,2618,2205,413,0.15775401069518716
2005,Cyprus,Belarus,Upper middle income,Europe & Central Asia,2218,2175,43,0.0193868349864743
2005,Cyprus,Saudi Arabia,High income,Middle East & North Africa,1941,1941,0,0
2005,Cyprus,Qatar,High income,Middle East & North Africa,919,898,21,0.022850924918389554
2005,Cyprus,China,Upper middle income,East Asia & Pacific,860,758,102,0.1186046511627907
2005,Cyprus,Bahrain,High income,Middle East & North Africa,724,715,3,0.004178272980501393
2005,Cyprus,Sri Lanka,Lower middle income,South Asia,468,468,0,0
2005,Cyprus,Libya,Upper middle income,Middle East & North Africa,393,393,0,0
2005,Cyprus,France,High income,Europe & Central Asia,336,336,0,0
2005,Cyprus,United States,High income,North America,315,315,0,0
2005,Cyprus,Switzerland,High income,Europe & Central Asia,312,312,312,0.5
2005,Cyprus,Nigeria,Lower middle income,Sub-Saharan Africa,285,101,101,0.5
2005,Cyprus,Philippines,Lower middle income,East Asia & Pacific,204,148,65,0.3051643192488263
2005,Cyprus,Kenya,Lower middle income,Sub-Saharan Africa,164,164,0,0
2005,Cyprus,Pakistan,Lower middle income,South Asia,163,153,10,0.06134969325153374
2005,Cyprus,Czechia,High income,Europe & Central Asia,159,154,5,0.031446540880503145
2005,Cyprus,Oman,High income,Middle East & North Africa,158,157,1,0.006329113924050633
2005,Cyprus,Italy,High income,Europe & Central Asia,141,141,0,0
2005,Cyprus,Finland,High income,Europe & Central Asia,108,108,0,0
2005,Cyprus,Nepal,Lower middle income,South Asia,107,87,20,0.18691588785046728
2005,Cyprus,Netherlands,High income,Europe & Central Asia,107,107,0,0
2005,Cyprus,Ireland,High income,Europe & Central Asia,106,106,0,0
2005,Cyprus,Hungary,High income,Europe & Central Asia,103,103,0,0
2005,Cyprus,Spain,High income,Europe & Central Asia,56,53,3,0.05357142857142857
2005,Cyprus,Australia,High income,East Asia & Pacific,46,46,0,0
2005,Cyprus,Singapore,High income,East Asia & Pacific,46,46,0,0
2005,Cyprus,Zimbabwe,Lower middle income,Sub-Saharan Africa,39,38,1,0.02564102564102564
2005,Cyprus,Zambia,Lower middle income,Sub-Saharan Africa,24,24,0,0
2005,Cyprus,Uganda,Low income,Sub-Saharan Africa,21,21,0,0
2005,Cyprus,Luxembourg,High income,Europe & Central Asia,14,14,0,0
2005,Cyprus,Japan,High income,East Asia & Pacific,11,11,0,0
2005,Cyprus,Malaysia,Upper middle income,East Asia & Pacific,8,8,0,0
2005,Cyprus,Portugal,High income,Europe & Central Asia,8,8,0,0
2005,Cyprus,Slovenia,High income,Europe & Central Asia,7,7,0,0
2005,Cyprus,Austria,High income,Europe & Central Asia,0,244,0,0
2005,Cyprus,Belgium,High income,Europe & Central Asia,0,163,0,0
2005,Cyprus,Bolivia,Lower middle income,Latin America & Caribbean,0,0,0,0
2005,Cyprus,Burundi,Low income,Sub-Saharan Africa,0,0,0,0
2005,Cyprus,Cameroon,Lower middle income,Sub-Saharan Africa,0,187,0,0
2005,Cyprus,Canada,High income,North America,0,2,2,0.5
2005,Cyprus,Colombia,Upper middle income,Latin America & Caribbean,0,26,0,0
2005,Cyprus,Costa Rica,Upper middle income,Latin America & Caribbean,0,0,0,0
2005,Cyprus,Cuba,Upper middle income,Latin America & Caribbean,0,16,0,0
2005,Cyprus,Dominican Republic,Upper middle income,Latin America & Caribbean,0,72,0,0
2005,Cyprus,Ecuador,Upper middle income,Latin America & Caribbean,0,11,0,0
2005,Cyprus,El Salvador,Upper middle income,Latin America & Caribbean,0,0,0,0
2005,Cyprus,Germany,High income,Europe & Central Asia,0,850,0,0
2005,Cyprus,Greece,High income,Europe & Central Asia,0,1840,0,0
2005,Cyprus,Guatemala,Upper middle income,Latin America & Caribbean,0,0,0,0
2005,Cyprus,Iceland,High income,Europe & Central Asia,0,0,0,0
2005,Cyprus,Mexico,Upper middle income,Latin America & Caribbean,0,2,0,0
2005,Cyprus,Mozambique,Low income,Sub-Saharan Africa,0,0,0,0
2005,Cyprus,New Zealand,High income,East Asia & Pacific,0,0,0,0
2005,Cyprus,Nicaragua,Lower middle income,Latin America & Caribbean,0,0,0,0
2005,Cyprus,Panama,High income,Latin America & Caribbean,0,0,0,0
2005,Cyprus,Peru,Upper middle income,Latin America & Caribbean,0,12,0,0
2005,Cyprus,Poland,High income,Europe & Central Asia,0,0,0,0
2005,Cyprus,Romania,High income,Europe & Central Asia,0,838,0,0
2005,Cyprus,Rwanda,Low income,Sub-Saharan Africa,0,0,0,0
2005,Cyprus,Seychelles,High income,Sub-Saharan Africa,0,0,0,0
2005,Cyprus,Sweden,High income,Europe & Central Asia,0,503,0,0
2005,Cyprus,Tunisia,Lower middle income,Middle East & North Africa,0,0,0,0
2005,Cyprus,Uruguay,High income,Latin America & Caribbean,0,0,0,0
2005,Cyprus,"Venezuela, RB",nan,Latin America & Caribbean,0,0,0,0
2005,Czechia,Russian Federation,Upper middle income,Europe & Central Asia,202334,201218,288,0.0014292378390717893
2005,Czechia,Ukraine,Lower middle income,Europe & Central Asia,82137,76529,5232,0.06399138953779919
2005,Czechia,Germany,High income,Europe & Central Asia,27117,26814,49,0.0018240702825447642
2005,Czechia,"Taiwan, China",High income,East Asia & Pacific,26799,26791,3,1.1196536538030902e-4
2005,Czechia,Türkiye,Upper middle income,Europe & Central Asia,25263,24502,747,0.029585330112083648
2005,Czechia,Belarus,Upper middle income,Europe & Central Asia,22388,22143,200,0.00895134941592445
2005,Czechia,Serbia,Upper middle income,Europe & Central Asia,16336,16265,53,0.003247947052334845
2005,Czechia,Thailand,Upper middle income,East Asia & Pacific,9264,9213,44,0.00475315977098412
2005,Czechia,Austria,High income,Europe & Central Asia,8028,7934,6,7.556675062972292e-4
2005,Czechia,United Kingdom,High income,Europe & Central Asia,7354,7308,16,0.002184598580010923
2005,Czechia,China,Upper middle income,East Asia & Pacific,6512,6223,286,0.04393916116146874
2005,Czechia,India,Lower middle income,South Asia,6124,5536,143,0.02518048952280331
2005,Czechia,South Africa,Upper middle income,Sub-Saharan Africa,5079,5067,0,0
2005,Czechia,Saudi Arabia,High income,Middle East & North Africa,4691,4657,17,0.0036371416345742404
2005,Czechia,Kuwait,High income,Middle East & North Africa,4434,4336,72,0.016333938294010888
2005,Czechia,Kazakhstan,Upper middle income,Europe & Central Asia,4233,4064,167,0.03947057433230915
2005,Czechia,Poland,High income,Europe & Central Asia,3781,3576,192,0.050955414012738856
2005,Czechia,Georgia,Upper middle income,Europe & Central Asia,3726,3560,151,0.04068984101320399
2005,Czechia,United Arab Emirates,High income,Middle East & North Africa,2901,2790,110,0.03793103448275862
2005,Czechia,United States,High income,North America,2899,2861,25,0.008662508662508662
2005,Czechia,"Egypt, Arab Rep.",Lower middle income,Middle East & North Africa,2717,2383,329,0.12131268436578171
2005,Czechia,Colombia,Upper middle income,Latin America & Caribbean,2337,2274,55,0.0236152855302705
2005,Czechia,Romania,High income,Europe & Central Asia,2102,1552,322,0.1718249733191035
2005,Czechia,Albania,Upper middle income,Europe & Central Asia,2049,1856,187,0.09153206069505629
2005,Czechia,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia,1941,1939,1,5.154639175257732e-4
2005,Czechia,Lebanon,Lower middle income,Middle East & North Africa,1815,1622,25,0.015179113539769277
2005,Czechia,France,High income,Europe & Central Asia,1787,1780,3,0.0016825574873808188
2005,Czechia,Indonesia,Upper middle income,East Asia & Pacific,1739,1697,41,0.023590333716915997
2005,Czechia,Hungary,High income,Europe & Central Asia,1664,1459,201,0.1210843373493976
2005,Czechia,Latvia,High income,Europe & Central Asia,1587,1575,0,0
2005,Czechia,Mongolia,Lower middle income,East Asia & Pacific,1570,1190,377,0.24058710912571793
2005,Czechia,Algeria,Lower middle income,Middle East & North Africa,1381,466,909,0.6610909090909091
2005,Czechia,Switzerland,High income,Europe & Central Asia,1362,1353,0,0
2005,Czechia,Netherlands,High income,Europe & Central Asia,1208,1189,0,0
2005,Czechia,Slovak Republic,High income,Europe & Central Asia,1169,1145,17,0.014629948364888123
2005,Czechia,Philippines,Lower middle income,East Asia & Pacific,1168,1120,48,0.0410958904109589
2005,Czechia,Italy,High income,Europe & Central Asia,1078,1073,0,0
2005,Czechia,Denmark,High income,Europe & Central Asia,1035,1033,0,0
2005,Czechia,Libya,Upper middle income,Middle East & North Africa,1009,999,10,0.009910802775024777
2005,Czechia,Vietnam,Lower middle income,East Asia & Pacific,1002,771,231,0.23053892215568864
2005,Czechia,Bulgaria,Upper middle income,Europe & Central Asia,925,860,48,0.05286343612334802
2005,Czechia,Estonia,High income,Europe & Central Asia,806,800,0,0
2005,Czechia,Uzbekistan,Lower middle income,Europe & Central Asia,791,738,50,0.06345177664974619
2005,Czechia,"Iran, Islamic Rep.",Lower middle income,Middle East & North Africa,735,683,50,0.06821282401091405
2005,Czechia,Tunisia,Lower middle income,Middle East & North Africa,727,658,69,0.09491059147180192
2005,Czechia,Belgium,High income,Europe & Central Asia,714,693,0,0
2005,Czechia,Lithuania,High income,Europe & Central Asia,624,617,7,0.011217948717948718
2005,Czechia,Syrian Arab Republic,Low income,Middle East & North Africa,624,527,35,0.06227758007117438
2005,Czechia,Spain,High income,Europe & Central Asia,599,589,1,0.001694915254237288
2005,Czechia,Peru,Upper middle income,Latin America & Caribbean,535,520,15,0.028037383177570093
2005,Czechia,Japan,High income,East Asia & Pacific,524,524,0,0
2005,Czechia,Ghana,Lower middle income,Sub-Saharan Africa,520,160,360,0.6923076923076923
2005,Czechia,Jordan,Lower middle income,Middle East & North Africa,509,434,75,0.14734774066797643
2005,Czechia,Iraq,Upper middle income,Middle East & North Africa,498,432,63,0.12727272727272726
2005,Czechia,Nigeria,Lower middle income,Sub-Saharan Africa,471,439,4,0.009029345372460496
2005,Czechia,Ireland,High income,Europe & Central Asia,434,433,1,0.002304147465437788
2005,Czechia,Canada,High income,North America,418,417,0,0
2005,Czechia,Morocco,Lower middle income,Middle East & North Africa,409,327,82,0.20048899755501223
2005,Czechia,"Venezuela, RB",nan,Latin America & Caribbean,376,328,48,0.1276595744680851
2005,Czechia,Norway,High income,Europe & Central Asia,363,362,0,0
2005,Czechia,Israel,High income,Middle East & North Africa,350,322,15,0.04451038575667656
2005,Czechia,Pakistan,Lower middle income,South Asia,340,238,101,0.29793510324483774
2005,Czechia,Sweden,High income,Europe & Central Asia,301,301,0,0
2005,Czechia,Senegal,Lower middle income,Sub-Saharan Africa,295,174,121,0.4101694915254237
2005,Czechia,Greece,High income,Europe & Central Asia,250,241,0,0
2005,Czechia,Kenya,Lower middle income,Sub-Saharan Africa,239,216,23,0.09623430962343096
2005,Czechia,Finland,High income,Europe & Central Asia,227,226,0,0
2005,Czechia,Cuba,Upper middle income,Latin America & Caribbean,202,193,5,0.025252525252525252
2005,Czechia,Singapore,High income,East Asia & Pacific,199,189,1,0.005263157894736842
2005,Czechia,Cyprus,High income,Europe & Central Asia,172,165,3,0.017857142857142856
2005,Czechia,Australia,High income,East Asia & Pacific,168,166,0,0
2005,Czechia,Slovenia,High income,Europe & Central Asia,147,147,0,0
2005,Czechia,Portugal,High income,Europe & Central Asia,134,128,0,0
2005,Czechia,Croatia,High income,Europe & Central Asia,124,122,2,0.016129032258064516
2005,Czechia,Zimbabwe,Lower middle income,Sub-Saharan Africa,82,80,2,0.024390243902439025
2005,Czechia,"Yemen, Rep.",Low income,Middle East & North Africa,76,76,0,0
2005,Czechia,Ethiopia,Low income,Sub-Saharan Africa,55,41,14,0.2545454545454545
2005,Czechia,Malaysia,Upper middle income,East Asia & Pacific,52,43,7,0.14
2005,Czechia,Mexico,Upper middle income,Latin America & Caribbean,41,41,0,0
2005,Czechia,"Korea, Rep.",High income,East Asia & Pacific,20,19,0,0
2005,Czechia,Brazil,Upper middle income,Latin America & Caribbean,16,16,0,0
2005,Czechia,Chile,High income,Latin America & Caribbean,15,12,0,0
2005,Czechia,Costa Rica,Upper middle income,Latin America & Caribbean,14,14,0,0
2005,Czechia,Argentina,Upper middle income,Latin America & Caribbean,12,12,0,0
2005,Czechia,Uruguay,High income,Latin America & Caribbean,0,0,0,0
2005,Denmark,Russian Federation,Upper middle income,Europe & Central Asia,16510,15981,500,0.030337964929312542
2005,Denmark,China,Upper middle income,East Asia & Pacific,12135,12361,741,0.05655625095405282
2005,Denmark,Türkiye,Upper middle income,Europe & Central Asia,5487,4858,572,0.10534069981583793
2005,Denmark,Thailand,Upper middle income,East Asia & Pacific,4482,4186,254,0.057207207207207206
2005,Denmark,Indonesia,Upper middle income,East Asia & Pacific,3279,3270,4,0.0012217470983506415
2005,Denmark,India,Lower middle income,South Asia,3275,3160,87,0.026793963658761934
2005,Denmark,Serbia,Upper middle income,Europe & Central Asia,3018,2781,228,0.07577268195413758
2005,Denmark,Romania,High income,Europe & Central Asia,2738,2317,355,0.13285928143712575
2005,Denmark,South Africa,Upper middle income,Sub-Saharan Africa,2730,2712,15,0.005500550055005501
2005,Denmark,United Kingdom,High income,Europe & Central Asia,2516,2499,33,0.013033175355450236
2005,Denmark,"Iran, Islamic Rep.",Lower middle income,Middle East & North Africa,2404,1848,552,0.23
2005,Denmark,Philippines,Lower middle income,East Asia & Pacific,2182,2080,91,0.041916167664670656
2005,Denmark,"Egypt, Arab Rep.",Lower middle income,Middle East & North Africa,1883,1772,65,0.035383777898747956
2005,Denmark,Albania,Upper middle income,Europe & Central Asia,1843,1681,144,0.0789041095890411
2005,Denmark,Pakistan,Lower middle income,South Asia,1381,782,598,0.43333333333333335
2005,Denmark,United States,High income,North America,1334,1311,19,0.014285714285714285
